id;nombre;apellido;equipo;plan;categoria;fecha;distrito;vendedor;correo;promocion;monto_venta;descuento;total_con_descuento
ENT2024-00001;Alvaro;  Torres  ;Samsung Galaxy S24;Prepago 30GB;Prepago;2024-04-24;  Santiago de Surco  ;Vendedor 48;;Mes gratis;328.66;0.5;164.33
ENT2024-00002;  Emilio  ;Cruzado;Oppo Reno10;Postpago 100GB;Hogar;2024-01-17;  Lima  ;Vendedor 06;emilio.cruzado@entel.pe;Descuento 50% en 3 meses;1231.42;0;1231.42
ENT2024-00003;Sofía;Paredes;Infinix Note 40;Postpago 50GB;Prepago;2024-11-28;Los Olivos;Vendedor 35;sofía.paredes@entel.pe;Roaming gratis 1 mes;108.2;0.1;97.38
ENT2024-00004;Sofía;Soto;Infinix Note 40;Prepago 30GB;Postpago;2024-03-22;Los Olivos;Vendedor 28;sofía.soto@entel.pe;Bonificación 50GB;1872.58;0.2;1498.06
ENT2024-00005;  Verónica  ;  Vargas  ;Motorola Moto G54;Empresa 200GB;Postpago;17/02/2024;Callao;Vendedor 07;verónica.vargas@entel.pe;Bonificación 50GB;1890.66;0;1890.66
ENT2024-00006;  Raúl  ;Cáceres;Huawei P60;Postpago 50GB;Hogar;2024-10-01;  La Molina  ;Vendedor 25;raúl.cáceres@entel.pe;Mes gratis;1308.97;0.2;1047.18
ENT2024-00007;Sandra;  Mendoza  ;Tablet Samsung Tab A8;Empresa 200GB;Prepago;2024-12-26;San Isidro;Vendedor 03;sandra.mendoza@entel.pe;Descuento 50% en 3 meses;274.94;0.5;137.47
ENT2024-00008;  Marco  ;Mendoza;iPhone 15;Prepago 10GB;Postpago;2024-07-13;San Martín de Porres;Vendedor 30;marco.mendoza@entel.pe;Bonificación 50GB;1696.46;0.5;848.23
ENT2024-00009;María;Quispe;Samsung A54;Prepago 10GB;Empresa;25/12/2024;  Surquillo  ;Vendedor 42;maría.quispe@entel.pe;Mes gratis;4345.61;0.5;2172.8
ENT2024-00010;Beatriz;Pizarro;Xiaomi Redmi Note 13;Prepago 10GB;Prepago;2024-08-24;Callao;Vendedor 18;beatriz.pizarro@entel.pe;Descuento 50% en 3 meses;464.64;0;464.64
ENT2024-00011;Emilio;Salazar;Tablet Samsung Tab A8;Postpago 50GB;Prepago;2024-01-17;Carabayllo;Vendedor 26;emilio.salazar@entel.pe;2x1 accesorios;203.94;0.5;101.97
